ID_AVS,CANAL,PLATAFORMA,URL,TIMESHIFT_URL
256,RBS TV URUGUAIANA,ANDROIDTV,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd
256,RBS TV URUGUAIANA,APPLETV,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/h4f2/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/h4f2/stream_01/index.m3u8
256,RBS TV URUGUAIANA,CHROMECASTH,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd
256,RBS TV URUGUAIANA,FIRETVSTICK,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd
256,RBS TV URUGUAIANA,IPADH,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/h4f2/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/h4f2/stream_01/index.m3u8
256,RBS TV URUGUAIANA,IPHONEH,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/h4f2/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/h4f2/stream_01/index.m3u8
256,RBS TV URUGUAIANA,PCTV,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd
256,RBS TV URUGUAIANA,SMARTTVLG,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd
256,RBS TV URUGUAIANA,SMARTTVSAMSUNG,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd
358,RECORD Bahia,ANDROIDMOBILEH,https://getcdn.nowonline.com.br/Content/Channel/SALRECHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SALRECHD/dsc2/manifest.mpd
358,RECORD Bahia,ANDROIDTABLETH,https://getcdn.nowonline.com.br/Content/Channel/SALRECHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SALRECHD/dsc2/manifest.mpd
